schemeId,schemeName,schemeLevel,state,category,department,beneficiaryType,targetGroup,genderEligible,ageLimit,minAge,maxAge,casteEligible,incomeRuleType,incomeLimit,maxIncomeINR,maritalStatus,occupationEligible,eligibility,otherEligibilityCriteria,benefitType,benefits,allBenefitsDescription,benefitAmount,benefitFrequency,applicationMode,applicationDeadline,officialApplyLink,officialSource,importantDocuments,requiredDocuments,remarks
ENV-M007,Plastic Waste Management Initiative (Plastic Waste Management Rules 2016/2022),Central,All States,Environment / Waste Management,"Ministry of Environment, Forest and Climate Change (MoEFCC)",Citizens / Businesses / Local Bodies,"All citizens, manufacturers, importers, brand owners",All,18+ (for compliance),18,,All,No income limit,No income limit,,Any,All; especially businesses handling plastics,"All citizens and businesses; mandatory compliance for manufacturers, importers, brand owners of plastic items",Extended Producer Responsibility (EPR) mandatory for plastic producers,Regulatory Compliance / Environmental Benefit,Ban on single-use plastics (effective 2022); EPR framework; recycling promotion; waste collection systems,"Bans 19 categories of single-use plastic items from July 2022. Mandates Extended Producer Responsibility for plastic manufacturers. Promotes plastic waste segregation, collection, and recycling at ULB level.",No direct monetary benefit (regulatory scheme),Ongoing,Compliance via MoEFCC / CPCB portal,Ongoing,https://moef.gov.in/,https://moef.gov.in/,"Business registration, EPR certificate","Business registration, CPCB EPR registration",Single-use plastic ban effective July 2022. EPR framework mandatory for producers.
ENV-M008,Nagar Van Yojana (Urban Green Spaces / City Forest Scheme),Central,All States (Urban Areas),Environment / Urban Greening,"Ministry of Environment, Forest and Climate Change (MoEFCC)",Urban Residents / Municipal Bodies / NGOs,"Urban communities, municipal corporations, civic bodies",All,No limit,,,All,No income limit,No income limit,,Any,"All; NGOs, ULBs, Housing Societies","Municipal corporations, urban local bodies, NGOs, RWAs proposing city forest/green space projects; minimum 10 hectare land available",Must have identified land; project proposal to State Forest Department,Environmental / Green Infrastructure,Development of city forests; biodiversity parks; urban green spaces; ecological restoration of urban land,"Creates Nagar Vans (city forests) across urban India. Provides technical and financial support for developing green spaces, biodiversity parks, and ecological areas in cities. Target: 200 city forests.",₹25–50 lakh per project (central assistance varies),Project-based,State Forest Department / Municipal Corporation,Ongoing,https://moef.gov.in/,https://moef.gov.in/,"Land documents, Project proposal","Land ownership/clearance, Project DPR, Municipal resolution",Target: 200 Nagar Vans by 2024. NGOs and RWAs can partner with municipalities.
ENV-M009,Energy Conservation Building Code (ECBC) Implementation,Central,All States,Energy Efficiency / Green Buildings,"Bureau of Energy Efficiency (BEE), Ministry of Power",Commercial/Institutional Building Owners / Architects,"Commercial buildings >500 sqm, government buildings, architects, builders",All,18+,18,,All,No income limit,No income limit,,Any,"Builders, Architects, Commercial Building Owners",New commercial buildings above 500 sqm; mandatory for government buildings; ECBC+ and super-ECBC for higher efficiency,States must adopt ECBC in building byelaws; currently mandatory in ~25 states,Energy Savings / Compliance,25–50% energy savings in buildings; green building certification; ECO Niwas Samhita for residential,Mandates energy-efficient building design for commercial buildings. ECBC compliance results in 25-50% energy savings. ECO Niwas Samhita (residential ECBC) promotes energy efficiency in homes. BEE provides technical support.,Energy cost savings (₹2–4 lakh/year for typical commercial building),Ongoing (annual energy savings),Through building permit process / State Building Authority,Ongoing,https://beeindia.gov.in/,https://beeindia.gov.in/,"Building plans, Energy compliance certificate","Building plans, Energy audit report, Architect certification",Mandatory for commercial buildings >500 sqm in states that have adopted ECBC.
GRN-001,National Mission for Green India (Green India Mission),Central,All States,Environment / Afforestation / Ecosystem,"Ministry of Environment, Forest and Climate Change (MoEFCC)",State Forest Depts / Local Communities / NGOs,"Communities near forests, tribal communities, NGOs, forest departments",All,No limit,,,All (tribal communities prioritized),No income limit,No income limit,,Any,"Forest workers, tribal communities, NGOs","State forest departments, tribal communities, and NGOs; focus on degraded forests and non-forest ecosystems",Target: increase forest/tree cover by 5 million hectares,Afforestation / Ecosystem Services / Livelihood,Funding for afforestation; urban greening; eco-restoration; community livelihood through forest-based activities,"Aims to increase forest/tree cover by 5 million hectares. Provides funding for afforestation of degraded forests, grasslands, and urban areas. Supports community forest management and ecosystem service enhancement.",Project-based (institutional funding),Annual / Project-based,State Forest Department / MoEFCC,Ongoing,https://moef.gov.in/,https://moef.gov.in/,"Land records, Project proposal","Project DPR, Land records, Community resolution",One of India's 8 National Action Plan on Climate Change missions.
GRN-002,CAMPA – Compensatory Afforestation Fund Management and Planning Authority,Central,All States,Environment / Afforestation,"Ministry of Environment, Forest and Climate Change (MoEFCC)",State Forest Departments / Local Gram Panchayats,"Forest-dependent communities, tribal populations",All,No limit,,,All (tribal communities),No income limit,No income limit,,Any,"Forest workers, tribal communities",State forest departments submit afforestation proposals; funds from entities diverting forest land for non-forest use,70% funds to states; 30% to central; only for afforestation and forest management activities,Afforestation / Forest Management / Livelihood,Funding for compensatory afforestation; assisted natural regeneration; forest protection; wildlife management,"Manages funds collected as compensation when forest land is diverted. Funds tree plantation, forest management, eco-restoration, and livelihood activities in forest areas. ₹60,000+ crore corpus.",Institutional funding (no direct individual benefit),Annual,State CAMPA / State Forest Department,Annual,https://campa.gov.in/,https://campa.gov.in/,"Land records, Afforestation plan","Afforestation proposal, Land documents",CAMPA Act 2016. Funds compensatory afforestation when forests are diverted for development projects.
SPT-001,Khelo India Scheme (Khelo India Youth Games),Central,All States,Sports / Youth Development,Ministry of Youth Affairs and Sports,Athletes / Schools / Sports Institutions,"School children (5–18), Athletes, Sports Academies, Physical education teachers",All,Under 18 (for youth games),5,21,All,No income limit,No income limit,,Any,"Students, Young Athletes",Young athletes up to 18–21 years; schools and sports institutions; talented athletes from rural/semi-urban areas,Khelo India Athletes (KIA) receive ₹6.28 lakh/year scholarship for 8 years; selection via competition,Scholarship / Infrastructure / Training,Annual scholarship ₹6.28 lakh for selected athletes; sports infrastructure development at grassroots; coaching support; mass participation programs,"Promotes mass participation in sports and identifies talent at school level. Provides ₹6.28 lakh/year scholarship to Khelo India Athletes for 8 years. Funds playground renovation, sports equipment, and Small Centres of Excellence.",₹6.28 lakh/year (KIA scholarship); infrastructure grants vary,Annual (scholarship); Project-based (infrastructure),Online (kheloindia.gov.in) / Through schools and sports bodies,Annual selection,https://kheloindia.gov.in/,https://kheloindia.gov.in/,"Aadhaar Card, Age proof, Sports achievement certificates","Aadhaar Card, Age proof, Passport photo, Sports certificates, School ID",KIYG (Youth Games) and KIUG (University Games) held annually. Covers 26 sports disciplines.
HOU-001,Pradhan Mantri Awas Yojana – Urban (PMAY-U 2.0),Central,All States (Urban),Housing / Urban Development,Ministry of Housing & Urban Affairs (MoHUA),EWS / LIG / MIG Families,"Economically Weaker Section (EWS), Low Income Group (LIG), Middle Income Group (MIG)",All (female co-ownership preferred),18+,18,70,All (SC/ST/OBC/minorities/differently-abled prioritized),Income-based,EWS: up to ₹3 lakh/year; LIG: ₹3–6 lakh; MIG-I: ₹6–12 lakh; MIG-II: ₹12–18 lakh,1800000,Any (head of household),All,Must not own a pucca house anywhere in India; family must not have availed central housing scheme before; must be urban resident,EWS/LIG: in-situ slum rehabilitation or beneficiary-led construction; MIG: credit-linked subsidy on home loans,Housing Subsidy / Credit Linked Subsidy,Interest subsidy on home loan (CLSS); direct subsidy for house construction; in-situ slum rehabilitation,"PMAY-U 2.0 (2024-2029) targets 1 crore urban poor with pucca houses. Provides Central Assistance of ₹1.5 lakh (EWS/LIG), ₹1.8 lakh (MIG). Credit Linked Subsidy Scheme (CLSS) offers subsidy on home loans.",EWS/LIG: ₹1.5 lakh subsidy; MIG: ₹1.8 lakh subsidy; CLSS: ₹2.35–2.67 lakh interest subsidy,One-time,Online (pmaymis.gov.in) / Offline via ULB,2028-29,https://pmaymis.gov.in/,https://pmaymis.gov.in/,"Aadhaar Card, Income Certificate, No property ownership certificate","Aadhaar Card, Income certificate, Address proof, Bank account, Property documents (if applicable), Photograph",Female co-ownership mandatory for EWS/LIG. Must not own pucca house in India. PMAY-U 2.0 launched 2024.
HLT-003,Mahatma Jyotiba Phule Jan Arogya Yojana (MJPJAY) – Maharashtra,State,Maharashtra,Health / Insurance,Government of Maharashtra / Department of Public Health,BPL / Yellow Ration Card Holders / Farmers (Maharashtra),"BPL families, Yellow/Orange ration card holders, farmers in debt",All,No limit,,,All,BPL / Ration Card,Yellow/Orange ration card holders; also white card in some cases,,Any,All (farmers in debt specifically covered),Maharashtra resident; Yellow/Orange ration card holder; BPL or low-income family; farmers under agriculture loan distress,Coverage extends to include Ayushman Bharat PM-JAY beneficiaries in Maharashtra,Health Insurance / Cashless Treatment,"₹5 lakh health coverage per family per year; 1,000+ medical procedures covered; cashless treatment at empanelled hospitals",State scheme providing ₹5 lakh cashless health coverage for 996+ procedures. Covers BPL families with Yellow/Orange ration cards. Recently extended to White ration card holders in some districts. Integrated with Ayushman Bharat.,"Up to ₹5,00,000 per family per year",Annual coverage,Online (jeevandayee.gov.in) / Hospital enrollment,Ongoing,https://www.jeevandayee.gov.in/,https://www.jeevandayee.gov.in/,"Ration Card (Yellow/Orange), Aadhaar Card, Maharashtra domicile","Aadhaar Card, Ration Card, Maharashtra Domicile Certificate, Bank Account",Maharashtra-specific scheme. Also covers debt-distressed farmers' families. Integrated with Ayushman Bharat.
SKL-003,Skill India Mission (National Skill Development Mission),Central,All States,Skill Development / Employment,Ministry of Skill Development and Entrepreneurship (MSDE) / NSDC,Youth / Working Population,"Youth, Working adults, Rural and urban population seeking skill upgradation",All,15–45 years,15,45,All,No income limit,No income limit,,Any,All (unemployed preferred),"Indian citizens seeking skill development; covers multiple sub-schemes including PMKVY, NAPS, Jan Shikshan Sansthan, etc.","Umbrella mission housing PMKVY, NAPS, and other skill development initiatives",Skill Training / Certification / Employment,Skill development ecosystem with NSQF-aligned courses; Recognition of Prior Learning (RPL); industry partnerships; placement support,"Umbrella mission to skill 40 crore people by 2022 (target extended). Houses PMKVY, NAPS, Jan Shikshan Sansthan, and other components. Provides skill development, certification, and employment linkages across sectors.","Varies by component scheme (training stipend, certification, placement support)",Component-wise,Online (skillindiadigital.gov.in),Ongoing,https://www.skillindiadigital.gov.in/,https://www.msde.gov.in/,"Aadhaar Card, Educational Certificates","Aadhaar Card, Educational Certificates, Bank Account","Mission launched 2015. Houses PMKVY, NAPS, and other skill programs as sub-components."
TRN-001,Delhi Free Bus Travel for Women Scheme,State,Delhi,Urban Transport / Women Empowerment,Government of Delhi / Delhi Transport Corporation (DTC),Women (Delhi Residents),All women residing in Delhi,Female,No limit,,,All,No income limit,No income limit,,Any,All,Any woman traveling in Delhi in DTC/cluster buses; simply board the bus and request pink ticket,Valid in DTC and cluster buses only; not applicable for Metro,Free Travel / Transport Subsidy,Free unlimited travel in DTC and cluster buses; pink ticket issued at no cost,Women can travel free in all Delhi DTC and cluster buses by requesting a 'pink ticket' at no charge. Scheme launched October 2019 to ensure safe and affordable mobility for women in Delhi.,Free bus travel (equivalent to bus fare saved),Per trip (ongoing),No application needed; board DTC/cluster bus and request pink ticket,Ongoing,https://transport.delhi.gov.in/,https://transport.delhi.gov.in/,No documents required,No documents required; just board the bus,Launched October 2019. Applicable in DTC and cluster buses only. Not valid for Delhi Metro.
